2019-09-03 12:30:56,1185.6万,90.4万,22.5万,9.8,13475人评
2019-09-03 13:30:57,1186万,90.4万,22.5万,9.8,13479人评
2019-09-03 14:30:57,1186.6万,90.4万,22.5万,9.8,13483人评
2019-09-03 15:30:58,1186.9万,90.4万,22.5万,9.8,13487人评
2019-09-03 16:30:58,1187.1万,90.5万,22.5万,9.8,13492人评
2019-09-03 17:30:59,1187.4万,90.5万,22.5万,9.8,13492人评
2019-09-03 18:30:59,1187.7万,90.5万,22.5万,9.8,13496人评
2019-09-03 19:31:00,1188.1万,90.5万,22.5万,9.8,13498人评
2019-09-03 20:31:00,1188.6万,90.5万,22.5万,9.8,13499人评
2019-09-03 21:31:00,1189.1万,90.5万,22.5万,9.8,13505人评
2019-09-03 22:31:01,1189.6万,90.5万,22.5万,9.8,13507人评
2019-09-03 23:31:01,1190.3万,90.6万,22.5万,9.8,13513人评
2019-09-04 00:31:01,1191万,90.6万,22.5万,9.8,13517人评
2019-09-04 01:31:02,1191.7万,90.6万,22.5万,9.8,13524人评
2019-09-04 02:31:02,1192.1万,90.6万,22.5万,9.8,13527人评
2019-09-04 03:31:02,1192.4万,90.6万,22.5万,9.8,13529人评
2019-09-04 04:31:03,1192.5万,90.6万,22.5万,9.8,13529人评
2019-09-04 05:31:03,1192.6万,90.6万,22.5万,9.8,13530人评
2019-09-04 06:31:03,1192.7万,90.6万,22.5万,9.8,13531人评
2019-09-04 07:31:03,1192.8万,90.6万,22.5万,9.8,13531人评
2019-09-04 08:31:04,1192.9万,90.6万,22.6万,9.8,13531人评
2019-09-04 09:31:04,1193.1万,90.6万,22.6万,9.8,13531人评
2019-09-04 10:31:05,1193.3万,90.6万,22.6万,9.8,13532人评
2019-09-04 11:31:05,1193.5万,90.7万,22.6万,9.8,13533人评
2019-09-04 12:31:06,1193.8万,90.7万,22.6万,9.8,13534人评
2019-09-04 13:31:06,1194.3万,90.7万,22.6万,9.8,13538人评
2019-09-04 14:31:06,1194.9万,90.7万,22.6万,9.8,13538人评
2019-09-04 15:31:07,1195.2万,90.7万,22.6万,9.8,13538人评
2019-09-04 16:31:07,1195.4万,90.7万,22.6万,9.8,13540人评
2019-09-04 17:31:07,1195.7万,90.7万,22.6万,9.8,13541人评
2019-09-04 18:31:07,1196万,90.7万,22.6万,9.8,13541人评
2019-09-04 19:31:08,1196.5万,90.7万,22.6万,9.8,13544人评
2019-09-04 20:31:08,1196.9万,90.8万,22.6万,9.8,13547人评
2019-09-04 21:31:08,1197.4万,90.8万,22.6万,9.8,13551人评
2019-09-04 22:31:09,1197.9万,90.8万,22.6万,9.8,13554人评
2019-09-04 23:31:09,1198.6万,90.8万,22.6万,9.8,13558人评
2019-09-05 00:31:09,1199.2万,90.8万,22.6万,9.8,13560人评
2019-09-05 01:31:09,1199.8万,90.8万,22.6万,9.8,13561人评
2019-09-05 02:31:09,1200.2万,90.9万,22.6万,9.8,13563人评
2019-09-05 03:31:10,1200.5万,90.9万,22.6万,9.8,13563人评
2019-09-05 04:31:10,1200.6万,90.9万,22.6万,9.8,13563人评
2019-09-05 05:31:10,1200.7万,90.9万,22.6万,9.8,13563人评
2019-09-05 06:31:11,1200.7万,90.9万,22.6万,9.8,13564人评
2019-09-05 07:31:11,1200.8万,90.9万,22.6万,9.8,13565人评
2019-09-05 08:31:11,1200.9万,90.9万,22.6万,9.8,13566人评
2019-09-05 09:31:12,1201万,90.9万,22.6万,9.8,13566人评
2019-09-05 10:31:12,1201.2万,90.9万,22.6万,9.8,13567人评
2019-09-05 11:31:12,1201.4万,90.9万,22.6万,9.8,13569人评
2019-09-05 12:31:12,1201.6万,90.9万,22.6万,9.8,13570人评
2019-09-05 13:31:13,1202万,90.9万,22.6万,9.8,13571人评
2019-09-05 14:31:13,1202.5万,90.9万,22.6万,9.8,13573人评
2019-09-05 15:31:13,1202.7万,90.9万,22.7万,9.8,13575人评
